progress=1/376992 (thread=1/4; progress=1/94248) min=-0.03371799852322441; max=0.03638487356711122; largest=0.03638487356711122 [updated]
progress=9/376992 (thread=3/4; progress=4/94248) min=-0.03648116324386231; max=0.03638487356711122; largest=0.03648116324386231 [updated]
progress=17/376992 (thread=2/4; progress=7/94248) min=-0.03648116324386231; max=0.03639746132561308; largest=0.03648116324386231 [updated]
progress=21/376992 (thread=4/4; progress=9/94248) min=-0.03698310758414147; max=0.03639746132561308; largest=0.03698310758414147 [updated]
progress=22/376992 (thread=1/4; progress=2/94248) min=-0.03698310758414147; max=0.0364058135320729; largest=0.03698310758414147 [updated]
progress=retry (thread=2/4; progress=7/94248) min=-0.03698310758414147; max=0.03640910161137625; largest=0.03698310758414147 [updated]
progress=retry (thread=1/4; progress=2/94248) min=-0.03698310758414147; max=0.03641861801208812; largest=0.03698310758414147 [updated]
progress=38/376992 (thread=1/4; progress=4/94248) min=-0.03698310758414147; max=0.03646457444386229; largest=0.03698310758414147 [updated]
progress=retry (thread=4/4; progress=9/94248) min=-0.03698341574739168; max=0.03646457444386229; largest=0.03698341574739168 [updated]
progress=73/376992 (thread=2/4; progress=24/94248) min=-0.03698341574739168; max=0.03657045051835074; largest=0.03698341574739168 [updated]
progress=95/376992 (thread=1/4; progress=16/94248) min=-0.03698341574739168; max=0.03698310758414147; largest=0.03698341574739168 [updated]
progress=retry (thread=1/4; progress=16/94248) min=-0.03698341574739168; max=0.03698341574739167; largest=0.03698341574739168 [updated]
progress=144/376992 (thread=1/4; progress=24/94248) min=-0.03698341574739168; max=0.03701991913835986; largest=0.03701991913835986 [updated]
progress=retry (thread=1/4; progress=24/94248) min=-0.03698341574739168; max=0.03702088256713974; largest=0.03702088256713974 [updated]
progress=185/376992 (thread=3/4; progress=76/94248) min=-0.03701991913835986; max=0.03702088256713974; largest=0.03702088256713974 [updated]
progress=195/376992 (thread=1/4; progress=32/94248) min=-0.03701991913835986; max=0.03718208024338483; largest=0.03718208024338483 [updated]
progress=retry (thread=3/4; progress=76/94248) min=-0.03702088256713974; max=0.03718208024338483; largest=0.03718208024338483 [updated]
progress=retry (thread=1/4; progress=32/94248) min=-0.03702088256713974; max=0.03718810613189993; largest=0.03718810613189993 [updated]
progress=799/376992 (thread=1/4; progress=221/94248) min=-0.03718208024338483; max=0.03718810613189993; largest=0.03718810613189993 [updated]
progress=retry (thread=1/4; progress=221/94248) min=-0.03718810613189993; max=0.03718810613189993; largest=0.03718810613189993 [updated]
